Матеріал: монолитно-каркасные та загальна площа: 100 / 46.7 / 17 м².,Каховська
Матеріал: монолитно-каркасные та загальна площа: 99 / 60 / 15 м².,Лобановського
Матеріал: кирпичные та загальна площа: 75 / 41 / 9 м².,*** not found
Матеріал: монолитно-каркасные та загальна площа: 62 м².,Курчатова
Матеріал: монолитно-каркасные та загальна площа: 76 / 20 / 6 м².,Голосіївська
Матеріал: кирпичные та загальна площа: 210 / 69 / 15 м².,Тираспольська
Матеріал: кирпичные та загальна площа: 33 / 18 / 7 м².,Лаврська
Матеріал: 0 та загальна площа: 66.8 / 17.96 / 10.36 м².,Правди
Матеріал: монолитно-каркасные та загальна площа: 62 / 40 / 10 м².,Миколайчука
Матеріал: монолитно-каркасные та загальна площа: 102.1 / 65.8 / 13.9 м².,Порика
Матеріал: утепленная панель та загальна площа: 110 / 54 / 13 м².,Червоноткацька
Матеріал: утепленная панель та загальна площа: 51 / 31 / 8 м².,Маккейна
Матеріал: кирпичные та загальна площа: 44 / 30 / 7 м².,Йорданська
Матеріал: монолитно-каркасные та загальна площа: 91 / 44 / 21 м².,Тютюнника
Матеріал: 0 та загальна площа: 28 / 17 / 5 м².,Регенераторна
Матеріал: <span>7 декабря 2020 г.</span> та загальна площа: 56 м².,Зарічна
Матеріал: кирпичные та загальна площа: 67.3 / 39.7 / 7 м².,Заболотного
Матеріал: кирпичные та загальна площа: 100 / 45 / 30 м².,Курнатовського
Матеріал: кирпичные та загальна площа: 82 / 50 / 11 м².,Інститутська
Матеріал: монолитно-каркасные та загальна площа: 122 м².,Маланюка
Матеріал: монолитно-каркасные та загальна площа: 45 / 19 / 15 м².,Гречка
Матеріал: монолитно-каркасные та загальна площа: 75 м².,Липківського
Матеріал: <span>26 января</span> та загальна площа: 34 / - / 18 м².,Маккейна
Матеріал: 0 та загальна площа: 46 / 30 / 6 м².,Григоренка
Матеріал: монолитно-каркасные та загальна площа: 100 / 46.7 / 17 м².,Коновальця
Матеріал: монолитно-каркасные та загальна площа: 99 / 60 / 15 м².,Закревського
Матеріал: кирпичные та загальна площа: 75 / 41 / 9 м².,*** not found
Матеріал: монолитно-каркасные та загальна площа: 62 м².,Старонаводницька
Матеріал: кирпичные та загальна площа: 72 / 42 / 16 м².,Маланюка
Матеріал: монолитно-каркасные та загальна площа: 116.3 / 58 / 24 м².,Заньковецької
Матеріал: монолитно-каркасные та загальна площа: 159 м².,Кудрявська
Матеріал: кирпичные та загальна площа: 76 / 58 / 9 м².,
Матеріал: утепленная панель та загальна площа: 47.32 / 27 / 9 м².,Українки
Матеріал: кирпичные та загальна площа: 44 / 30 / 7 м².,
Матеріал: монолитно-каркасные та загальна площа: 95 / 45 / 20 м².,Милославська
Матеріал: монолитно-каркасные та загальна площа: 240 / 180 / 20 м².,Донця
Матеріал: <span>20 февраля 2020 г.</span> та загальна площа: 36 / 21 / 14 м².,Верховинця
Матеріал: кирпичные та загальна площа: 50 / - / 20 м².,Героїв Дніпра
Матеріал: <span>28 декабря 2020 г.</span> та загальна площа: 71 / 32 / 17 м².,Каховська
Матеріал: 0 та загальна площа: 60.51 / 16 / 24.9 м².,Каховська
Матеріал: <span>22 сентября 2019 г.</span> та загальна площа: 80.66 / 42 / 19.8 м².,Вишняківська
Матеріал: монолитно-каркасные та загальна площа: 123 / 75 / 15 м².,Липська
Матеріал: утепленная панель та загальна площа: 74 / 29.5 / 14.4 м².,Сверстюка
Матеріал: монолитно-каркасные та загальна площа: 81 / 31 / 25 м².,Драгомирова
Матеріал: утепленная панель та загальна площа: 43 / 18 / 10 м².,Причальна
Матеріал: <span>12 февраля</span> та загальна площа: 84 / 40 / 8.9 м².,Болсуновська
Матеріал: монолитно-каркасные та загальна площа: 46 м².,Повітрофлотський
Матеріал: панельные та загальна площа: 55 / 18 / 12 м².,Драгоманова
Матеріал: монолитно-каркасные та загальна площа: 136 / 80 / 16 м².,Григоренка
Матеріал: 0 та загальна площа: 21.31 / 15 / 5 м².,Дніпровська
Матеріал: 0 та загальна площа: 136 / 50 / 34 м².,Жабаєва
Матеріал: монолитно-каркасные та загальна площа: 41 / - / 10 м².,Філатова
